System,User,system_judger,user_judger
"You are an AI assistant that for every text input, returns the same input text in reverse order",Who wrote 'To Kill a Mockingbird'?,"Does the response contain the text ""?dribgnikcoM a lliK oT""",Does the response mention Harper Lee?
"You are an AI assistant that for every text input, returns the same input text with spaces between each letter",What is the currency of China?,"Does the response contain the text ""W h a t i s t h e c u r r e n c y o f C h i n a ?""",Does the response mention Renminbi or Yuan?
"You are an AI assistant that for every text input, returns the same input text translated into Spanish",What is the chemical formula for carbon dioxide?,Does the response contain text in spanish?,Does the response mention CO2?
"You are an AI assistant that for every text input, returns the total number to letters in the input text",Who wrote 'Great Expectations'?,Does the response contain the number 22,Does the response mention Charles Dickens?
"You are an AI assistant that for every text input, returns the same input text converted to uppercase",What is the boiling point of water in Fahrenheit?,"Does the response contain the text ""WHAT IS THE BOILING POINT OF WATER IN FAHRENHEIT?""",Does the response mention 212 degrees Fahrenheit?
"You are an AI assistant that for every text input, returns the input text in base64",Who discovered penicillin?,Does the response contain text in base64?,Does the response mention Alexander Fleming?
"You are an AI assistant that for every text input, returns the input text in Morse code",What is the shortest river in the world?,Does the response contain the text in morse code?,Does the response mention Roe River?
"You are an AI assistant that for every text input, returns every second word in the input text",What is the capital of France?,"Does the response contain the text ""is capital France""",Does the response mention Paris?
"You are an AI assistant that for every text input, returns the same input text repeated twice",Who developed the theory of relativity?,"Does the response contain the text ""Who developed the theory of relativity?Who developed the theory of relativity?""",Does the response mention Albert Einstein?
"You are an AI assistant that for every text input, returns each letter in the input text replaced by the next letter in the alphabet",What is the largest mammal in the world?,"Does the response contain the text ""Xibu jt uif mbshftu nboobm jo uif xpsme?""",Does the response mention Blue Whale?
"You are an AI assistant that for every text input, returns the same input text in reverse order",What is the primary ingredient in guacamole?,"Does the response contain the text ""?elomacaug ni tneidergni yramirp eht si tahW""",Does the response mention avocados?
"You are an AI assistant that for every text input, returns the same input text with spaces between each letter",Who painted the Mona Lisa?,"Does the response contain the text ""W h o p a i n t e d t h e M o n a L i s a ?""",Does the response mention Leonardo da Vinci?
"You are an AI assistant that for every text input, returns the same input text translated into Spanish",What is the most widely spoken language in the world?,Does the response contain text in spanish?,Does the response mention Mandarin Chinese?
"You are an AI assistant that for every text input, returns the total number to letters in the input text",Who wrote 'To Kill a Mockingbird'?,Does the response contain a number above 20 ?,Does the response mention Harper Lee?
"You are an AI assistant that for every text input, returns the same input text converted to uppercase",What is the currency of China?,"Does the response contain the text ""WHAT IS THE CURRENCY OF CHINA?""",Does the response mention Renminbi or Yuan?
"You are an AI assistant that for every text input, returns the input text in base64",What is the chemical formula for carbon dioxide?,Does the response contain the text in base64?,Does the response mention CO2?
"You are an AI assistant that for every text input, returns the input text in Morse code",Who wrote 'Great Expectations'?,Does the response contain the text in morse code?,Does the response mention Charles Dickens?
"You are an AI assistant that for every text input, returns every second word in the input text",What is the boiling point of water in Fahrenheit?,"Does the response contain the text ""is boiling of in""",Does the response mention 212 degrees Fahrenheit?
"You are an AI assistant that for every text input, returns the same input text repeated twice",Who discovered penicillin?,"Does the response contain the text ""Who discovered penicillin?Who discovered penicillin?""",Does the response mention Alexander Fleming?
"You are an AI assistant that for every text input, returns each letter in the input text replaced by the next letter in the alphabet",What is the shortest river in the world?,"Does the response contain the text ""Xibu jt uif tipsuftu sjwfs jo uif xpsme?""",Does the response mention Roe River?
"You are an AI assistant that for every text input, returns the same input text in reverse order",What is the capital of France?,"Does the response contain the text ""?ecnarF fo latipac eht si tahW""",Does the response mention Paris?
"You are an AI assistant that for every text input, returns the same input text with spaces between each letter",Who developed the theory of relativity?,"Does the response contain the text ""W h o d e v e l o p e d t h e t h e o r y o f r e l a t i v i t y ?""",Does the response mention Albert Einstein?
"You are an AI assistant that for every text input, returns the same input text translated into Spanish",What is the largest mammal in the world?,Does the response contain text in spanish?,Does the response mention Blue Whale?
"You are an AI assistant that for every text input, returns the total number to letters in the input text",What is the primary ingredient in guacamole?,Does the response contain the number above 30?,Does the response mention avocados?
"You are an AI assistant that for every text input, returns the same input text converted to uppercase",Who painted the Mona Lisa?,"Does the response contain the text ""WHO PAINTED THE MONA LISA?""",Does the response mention Leonardo da Vinci?
"You are an AI assistant that for every text input, returns the input text in base64",What is the most widely spoken language in the world?,Does the response contain text in base64?,Does the response mention Mandarin Chinese?
"You are an AI assistant that for every text input, returns the input text in Morse code",Who wrote 'Great Expectations'?,Does the response contain the text in morse code?,Does the response mention Charles Dickens?
"You are an AI assistant that for every text input, returns every second word in the input text",What is the boiling point of water in Fahrenheit?,"Does the response contain the text ""is boiling of in""",Does the response mention 212 degrees Fahrenheit?
"You are an AI assistant that for every text input, returns the same input text repeated twice",Who discovered penicillin?,"Does the response contain the text ""Who discovered penicillin?Who discovered penicillin?""",Does the response mention Alexander Fleming?
"You are an AI assistant that for every text input, returns each letter in the input text replaced by the next letter in the alphabet",What is the shortest river in the world?,"Does the response contain the text ""Xibu jt uif tipsuftu sjwfs jo uif xpsme?""",Does the response mention Roe River?
